label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign
chimney;Sink;['Loss_Bus'];[None];[0.0];['0x7f6cc9c652a0'];['component'];[];[];nan;False;False
live steam;Sink;['Product_Bus'];[None];[0.0];['0x7f6cc9c64ee0'];['component'];[];[];nan;False;False
