label;P;P_set
total power;-29999999.999999993;True
Loss_Bus;0.0;False
Product_Bus;-29999999.999999993;False
Fuel_Bus;0.0;False
heat output;37682618.66528835;False
power output;-29999999.999999993;False
fuel input;82374461.87463638;False
